Timestamp,Pair,Signal,HMM_Regime,LSTM_Prob,Sentiment,DOM,Order_ID,Reason
2026-03-16 19:34:13,USD/JPY,WAIT,Crash / Extreme Regime,53.10,0,N/A,N/A,VETO: VETO: Market Crash / Extreme Panic (HMM) - Safety First.
2026-03-16 19:34:17,USD/CHF,WAIT,Crash / Extreme Regime,52.90,0,N/A,N/A,VETO: VETO: Market Crash / Extreme Panic (HMM) - Safety First.
2026-03-16 19:34:20,EUR/JPY,WAIT,Crash / Extreme Regime,51.40,0,N/A,N/A,VETO: VETO: Market Crash / Extreme Panic (HMM) - Safety First.
2026-03-16 19:34:26,NZD/JPY,WAIT,Crash / Extreme Regime,49.30,0,N/A,N/A,VETO: VETO: Market Crash / Extreme Panic (HMM) - Safety First.
2026-03-16 19:36:39,USD/JPY,WAIT,Crash / Extreme Regime,51.20,0,N/A,N/A,VETO: VETO: Market Crash / Extreme Panic (HMM) - Safety First.
2026-03-16 19:36:44,USD/CHF,WAIT,Crash / Extreme Regime,50.50,0,N/A,N/A,VETO: VETO: Market Crash / Extreme Panic (HMM) - Safety First.
2026-03-16 19:36:48,EUR/JPY,WAIT,Crash / Extreme Regime,48.80,0,N/A,N/A,VETO: VETO: Market Crash / Extreme Panic (HMM) - Safety First.
2026-03-16 19:36:53,NZD/JPY,WAIT,Crash / Extreme Regime,46.70,0,N/A,N/A,VETO: VETO: Market Crash / Extreme Panic (HMM) - Safety First.
2026-03-16 19:46:45,USD/JPY,WAIT,Crash / Extreme Regime,51.30,0,N/A,N/A,VETO: VETO: Market Crash / Extreme Panic (HMM) - Safety First.
2026-03-16 19:46:49,USD/CHF,WAIT,Crash / Extreme Regime,50.70,0,N/A,N/A,VETO: VETO: Market Crash / Extreme Panic (HMM) - Safety First.
2026-03-16 19:47:02,USD/JPY,WAIT,Crash / Extreme Regime,49.10,0,N/A,N/A,VETO: VETO: Market Crash / Extreme Panic (HMM) - Safety First.
2026-03-16 19:47:06,USD/CHF,WAIT,Crash / Extreme Regime,46.80,0,N/A,N/A,VETO: VETO: Market Crash / Extreme Panic (HMM) - Safety First.
2026-03-16 19:47:09,EUR/JPY,WAIT,Crash / Extreme Regime,48.00,0,N/A,N/A,VETO: VETO: Market Crash / Extreme Panic (HMM) - Safety First.
2026-03-16 19:47:14,NZD/JPY,WAIT,Crash / Extreme Regime,46.90,0,N/A,N/A,VETO: VETO: Market Crash / Extreme Panic (HMM) - Safety First.
2026-03-16 20:02:11,USD/JPY,WAIT,Crash / Extreme Regime,50.80,0,N/A,N/A,VETO: VETO: Market Crash / Extreme Panic (HMM) - Safety First.
2026-03-16 20:02:14,USD/CHF,WAIT,Crash / Extreme Regime,48.30,0,N/A,N/A,VETO: VETO: Market Crash / Extreme Panic (HMM) - Safety First.
2026-03-16 20:02:17,EUR/JPY,WAIT,Crash / Extreme Regime,50.50,0,N/A,N/A,VETO: VETO: Market Crash / Extreme Panic (HMM) - Safety First.
2026-03-16 20:02:30,NZD/JPY,WAIT,Crash / Extreme Regime,50.60,0,N/A,N/A,VETO: VETO: Market Crash / Extreme Panic (HMM) - Safety First.
2026-03-16 20:17:24,USD/JPY,WAIT,Crash / Extreme Regime,50.10,0,N/A,N/A,VETO: VETO: Market Crash / Extreme Panic (HMM) - Safety First.
